* CA C N H 0 40 2
TYR CD2 CG CD1 HD1 -3.141592654 40 2
TYR CB CG CD2 CE2 -3.141592654 40 2
TYR CB CG CD2 HD2 0 40 2
TYR CD1 CG CD2 CE2 0 40 2
TYR CD1 CG CD2 HD2 3.141592654 40 2
TYR CG CD1 CE1 CZ 0 40 2
TYR CG CD1 CE1 HE1 3.141592654 40 2
TYR HD1 CD1 CE1 CZ 3.141592654 40 2
TYR HD1 CD1 CE1 HE1 0 40 2
TYR CG CD2 CE2 CZ 0 40 2
TYR CG CD2 CE2 HE2 -3.141592654 40 2
TYR HD2 CD2 CE2 CZ 3.141592654 40 2
TYR HD2 CD2 CE2 HE2 0 40 2
TYR CD1 CE1 CZ CE2 0 40 2
TYR CD1 CE1 CZ OH -3.141592654 40 2
TYR HE1 CE1 CZ CE2 3.141592654 40 2
TYR HE1 CE1 CZ OH 0 40 2
TYR CD2 CE2 CZ CE1 0.00E+00 40 2
TYR CD2 CE2 CZ OH 3.141592654 40 2
TYR HE2 CE2 CZ CE1 3.141592654 40 2
TYR HE2 CE2 CZ OH 0 40 2
VAL CA CB CG1 1HG1 -3.141592654 20 3
VAL CA CB CG1 2HG1 -1.047197551 20 3
VAL CA CB CG1 3HG1 1.047197551 20 3
VAL CG2 CB CG1 1HG1 1.047197551 20 3
VAL CG2 CB CG1 2HG1 3.141592654 20 3
VAL CG2 CB CG1 3HG1 -1.047197551 20 3
VAL HB CB CG1 1HG1 -1.047197551 20 3
VAL HB CB CG1 2HG1 1.047197551 20 3
VAL HB CB CG1 3HG1 -3.141592654 20 3
VAL CA CB CG2 1HG2 3.141592654 20 3
VAL CA CB CG2 2HG2 -1.047197551 20 3
VAL CA CB CG2 3HG2 1.047197551 20 3
VAL CG1 CB CG2 1HG2 -1.047197551 20 3
VAL CG1 CB CG2 2HG2 1.047197551 20 3
VAL CG1 CB CG2 3HG2 -3.141592654 20 3
VAL HB CB CG2 1HG2 1.047197551 20 3
VAL HB CB CG2 2HG2 -3.141592654 20 3
VAL HB CB CG2 3HG2 -1.047197551 20 3
