NAME FACTS_RADIUS    FACTS_CUT FACTS_ALPHA FACTS_ALPHA2 FACTS_ALPHA3 FACTS_B1    FACTS_B2     FACTS_D1     FACTS_D2     FACTS_A0      FACTS_A1     FACTS_A2     FACTS_A3     FACTS_C0    FACTS_C1      FACTS_C2    FACTS_C3     FACTS_AMIN FACTS_AMAX FACTS_BMIN FACTS_BMAX
HNbb      0.2245     0.714752e+1    0.025         0.010       0.010 -0.210603e+3 -0.199137e+1 -0.448975e+4 -0.977422e+1 -0.150967e+3  0.127403e+3  0.510164e-2 -0.478652e+2  0.331627e+2 -0.331607e+2  0.276020e-1 -0.719487e+4    508.928    886.197    0.11759    0.51760
HOH       0.2245     0.714752e+1    0.025         0.010       0.010 -0.210603e+3 -0.199137e+1 -0.448975e+4 -0.977422e+1 -0.150967e+3  0.127403e+3  0.510164e-2 -0.478652e+2  0.331627e+2 -0.331607e+2  0.276020e-1 -0.719487e+4      0.000      0.000    0.00000    0.00000
F         1.7700     0.850252e+1    0.025         0.010       0.010 -0.223037e+3 -0.836065e+0 -0.309785e+4 -0.119474e+1 -0.929564e+2  0.929544e+2  0.243993e-2  0.693910e+3  0.721270e+2 -0.721250e+2  0.171363e-2 -0.208454e+4      0.000      0.000    0.00000    0.00000
Cl        2.0000     0.881363e+1    0.025         0.010       0.010  0.147227e+3 -0.811304e+0 -0.811741e+4 -0.217625e+1 -0.858924e+2  0.858904e+2  0.196363e-2  0.900140e+3  0.168481e+3 -0.168287e+3  0.113765e-2 -0.672543e+4      0.000      0.000    0.00000    0.00000
Br        2.2750     0.952518e+1    0.025         0.010       0.010  0.746028e+3 -0.130263e+1 -0.639876e+3 -0.199623e+1 -0.735409e+2  0.731524e+2  0.182580e-2  0.121299e+4  0.178300e+3 -0.178298e+3  0.302069e-2 -0.103577e+4      0.000      0.000    0.00000    0.00000
I         2.2750     0.952518e+1    0.025         0.020       0.010  0.746028e+3 -0.130263e+1 -0.639876e+3 -0.199623e+1 -0.735409e+2  0.731524e+2  0.182580e-2  0.121299e+4  0.178300e+3 -0.178298e+3  0.302069e-2 -0.103577e+4      0.000      0.000    0.00000    0.00000
Zn2p      1.0000     0.711831e+1    0.025         0.020       0.010  0.152309e+3 -0.133090e+1 -0.978643e+4 -0.688345e+1 -0.156729e+3  0.141030e+3  0.813065e-2  0.244034e+3  0.107657e+2 -0.107632e+2  0.143223e-2 -0.709153e+4      0.000      0.000    0.00000    0.00000
Fe2p      0.7000     0.600000e+1    0.025         0.020       0.010  0.152309e+3 -0.133090e+1 -0.978643e+4 -0.688345e+1 -0.156729e+3  0.141030e+3  0.813065e-2  0.244034e+3  0.107657e+2 -0.107632e+2  0.143223e-2 -0.709153e+4      0.000      0.000    0.00000    0.00000
Fe3p      0.7000     0.600000e+1    0.025         0.020       0.010  0.152309e+3 -0.133090e+1 -0.978643e+4 -0.688345e+1 -0.156729e+3  0.141030e+3  0.813065e-2  0.244034e+3  0.107657e+2 -0.107632e+2  0.143223e-2 -0.709153e+4      0.000      0.000    0.00000    0.00000
Mg2p      1.3582     0.837924e+1    0.025         0.020       0.010 -0.223768e+3 -0.138532e+1 -0.728029e+3 -0.225798e+1 -0.110988e+3  0.103587e+3  0.300192e-2  0.405079e+3  0.458058e+2 -0.458038e+2  0.193741e-2 -0.141485e+4      0.000      0.000    0.00000    0.00000
Ca2p      1.3582     0.837924e+1    0.025         0.020       0.010 -0.223768e+3 -0.138532e+1 -0.728029e+3 -0.225798e+1 -0.110988e+3  0.103587e+3  0.300192e-2  0.405079e+3  0.458058e+2 -0.458038e+2  0.193741e-2 -0.141485e+4      0.000      0.000    0.00000    0.00000
Na1p      1.3582     0.837924e+1    0.025         0.020       0.010 -0.223768e+3 -0.138532e+1 -0.728029e+3 -0.225798e+1 -0.110988e+3  0.103587e+3  0.300192e-2  0.405079e+3  0.458058e+2 -0.458038e+2  0.193741e-2 -0.141485e+4      0.000      0.000    0.00000    0.00000
K1p       1.7700     0.850252e+1    0.025         0.020       0.010 -0.223037e+3 -0.836065e+0 -0.309785e+4 -0.119474e+1 -0.929564e+2  0.929544e+2  0.243993e-2  0.693910e+3  0.721270e+2 -0.721250e+2  0.171363e-2 -0.208454e+4      0.000      0.000    0.00000    0.00000
Hg1p      1.3582     0.837924e+1    0.025         0.020       0.010 -0.223768e+3 -0.138532e+1 -0.728029e+3 -0.225798e+1 -0.110988e+3  0.103587e+3  0.300192e-2  0.405079e+3  0.458058e+2 -0.458038e+2  0.193741e-2 -0.141485e+4      0.000      0.000    0.00000    0.00000
Au        0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
OP        0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
OHP       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
HOP       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
Pha       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
Pbb       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
OPha      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
OHha      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
Hha       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
CO3       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
OC3       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
Si        0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
OSi       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
Oice      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
Hice      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
CS1       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0    	     0.000      0.000    0.00000    0.00000
CS2       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
CS5       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
CS6       0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0  	     0.000      0.000    0.00000    0.00000
O5        0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0  	     0.000      0.000    0.00000    0.00000
VOOC      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VCOO      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VOCN      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VNOC      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VCON      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VSOG      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VSCB      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VCSG      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VCCB      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VRNH      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VRNE      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VKNZ      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VKCE      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VHND      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VHNE      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VHCB      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VHPO      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
SUCK  	  0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
REPL      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
REPLS     0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
HREPS     0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
VIRT      0.0000     0.0            0.0           0.0         0.0    0.0         0.0          0.0          0.0          0.0           0.0          0.0          0.0          0.0         0.0           0.0         0.0 	             0.000      0.000    0.00000    0.00000
