#This file is temporary to indicate which structures can be loaded from the database RAbD or not. 
#Jared Adolf-Bryfogle

LOADED 3o6kH_H1_0001
LOADED 3oazM_H1_0001
LOADED 3ojdB_H1_0001
LOADED 3oz9H_H1_0001
LOADED 3p0yH_H1_0001
LOADED 3pgfH_H1_0001
LOADED 3phqB_H1_0001
LOADED 3pnwW_H1_0001
LOADED 3pp4H_H1_0001
LOADED 3q3gD_H1_0001
LOADED 3q6gH_H1_0001
LOADED 3qcuI_H1_0001
LOADED 3qehC_H1_0001
LOADED 3qg6H_H1_0001
LOADED 3qhzH_H1_0001
LOADED 3qpqD_H1_0001
LOADED 3qpxH_H1_0001
LOADED 3qq9D_H1_0001
LOADED 3qrgH_H1_0001
LOADED 3qskB_H1_0001
LOADED 3qwoH_H1_0001
LOADED 3qxtB_H1_0001
LOADED 3qycA_H1_0001
LOADED 3r06H_H1_0001
LOADED 3r0mA_H1_0001
LOADED 3r1gH_H1_0001
LOADED 3ra7I_H1_0001
LOADED 3rpiA_H1_0001
LOADED 3s34H_H1_0001
LOADED 3s35H_H1_0001
LOADED 3sgeH_H1_0001
LOADED 3skjI_H1_0001
LOADED 3sobH_H1_0001
LOADED 3stbA_H1_0001
LOADED 3t2nH_H1_0001
LOADED 3t3pH_H1_0001
LOADED 3t65B_H1_0001
LOADED 3tclH_H1_0001
LOADED 3tpkA_H1_0001
LOADED 3tv3H_H1_0001
LOADED 3twcH_H1_0001
LOADED 3u0tB_H1_0001
LOADED 3u0wH_H1_0001
LOADED 3u30C_H1_0001
LOADED 3u7yH_H1_0001
LOADED 3u9pK_H1_0001
LOADED 3uc0I_H1_0001
LOADED 3ujiH_H1_0001
LOADED 3ujjH_H1_0001
LOADED 3ulsB_H1_0001
LOADED 3umtA_H1_0001
LOADED 3upcA_H1_0001
LOADED 3utzB_H1_0001
LOADED 3uzqA_H1_0001
LOADED 3v0aC_H1_0001
LOADED 3v0wH_H1_0001
LOADED 3v4uH_H1_0001
LOADED 3v6oC_H1_0001
LOADED 3vfgH_H1_0001
LOADED 3vg9C_H1_0001
LOADED 3w9eA_H1_0001
LOADED 3wbdA_H1_0001
LOADED 3wfdH_H1_0001
LOADED 3whxA_H1_0001
LOADED 3wiiI_H1_0001
LOADED 3wkmI_H1_0001
LOADED 3x3fH_H1_0001
LOADED 3zhdA_H1_0001
LOADED 3zkmC_H1_0001
LOADED 3zkqD_H1_0001
LOADED 43c9B_H1_0001
LOADED 4aehH_H1_0001
LOADED 4aeiJ_H1_0001
LOADED 4ag4H_H1_0001
LOADED 4al8H_H1_0001
LOADED 4amkH_H1_0001
LOADED 4aq1D_H1_0001
LOADED 4b41B_H1_0001
LOADED 4b50A_H1_0001
LOADED 4b5eB_H1_0001
LOADED 4buhB_H1_0001
LOADED 4bz2H_H1_0001
LOADED 4c57C_H1_0001
LOADED 4c83A_H1_0001
LOADED 4cadE_H1_0001
LOADED 4cmhB_H1_0001
LOADED 4cniA_H1_0001
LOADED 4d9lI_H1_0001
LOADED 4dgyH_H1_0001
LOADED 4dkaA_H1_0001
LOADED 4dkfI_H1_0001
LOADED 4dn3H_H1_0001
LOADED 4dvbA_H1_0001
LOADED 4ebqH_H1_0001
LOADED 4edwH_H1_0001
LOADED 4edxH_H1_0001
LOADED 4eigB_H1_0001
LOADED 4eneC_H1_0001
LOADED 4eowH_H1_0001
LOADED 4f37H_H1_0001
LOADED 4f57H_H1_0001
LOADED 4ffvD_H1_0001
LOADED 4ffyH_H1_0001
LOADED 4fhbD_H1_0001
LOADED 4fq2H_H1_0001
LOADED 4fqcH_H1_0001
LOADED 4fqiH_H1_0001
LOADED 4fqjH_H1_0001
LOADED 4fqlH_H1_0001
LOADED 4fzeH_H1_0001
LOADED 4g5zH_H1_0001
LOADED 4g7vH_H1_0001
LOADED 4gagH_H1_0001
LOADED 4glrH_H1_0001
LOADED 4gxvI_H1_0001
LOADED 4h20H_H1_0001
LOADED 4h88H_H1_0001
LOADED 4hbcH_H1_0001
LOADED 4hcrH_H1_0001
LOADED 4hdiH_H1_0001
LOADED 4hemE_H1_0001
LOADED 4hepG_H1_0001
LOADED 4hfwH_H1_0001
LOADED 4hhaB_H1_0001
LOADED 4hieB_H1_0001
LOADED 4hkxA_H1_0001
LOADED 4hpoH_H1_0001
LOADED 4hs6B_H1_0001
LOADED 4hs8H_H1_0001
LOADED 4ht1H_H1_0001
LOADED 4hxaH_H1_0001
LOADED 4i77H_H1_0001
LOADED 4idlA_H1_0001
LOADED 4isvB_H1_0001
LOADED 4j6rH_H1_0001
LOADED 4jamH_H1_0001
LOADED 4jb9H_H1_0001
LOADED 4jdvA_H1_0001
LOADED 4jg1H_H1_0001
LOADED 4jhaH_H1_0001
LOADED 4jn2H_H1_0001
LOADED 4jo1H_H1_0001
LOADED 4jqiH_H1_0001
LOADED 4jr9H_H1_0001
LOADED 4jy5H_H1_0001
LOADED 4jy6B_H1_0001
LOADED 4jznI_H1_0001
LOADED 4k23H_H1_0001
LOADED 4k2uI_H1_0001
LOADED 4k3jH_H1_0001
LOADED 4k94H_H1_0001
LOADED 4k9eH_H1_0001
LOADED 4kfzC_H1_0001
LOADED 4ki5C_H1_0001
LOADED 4ktdH_H1_0001
LOADED 4kteH_H1_0001
LOADED 4kzdH_H1_0001
LOADED 4l5fH_H1_0001
LOADED 4lciH_H1_0001
LOADED 4leoA_H1_0001
LOADED 4lexH_H1_0001
LOADED 4lgpD_H1_0001
LOADED 4lgsB_H1_0001
LOADED 4lhjB_H1_0001
LOADED 4liqH_H1_0001
LOADED 4lkcB_H1_0001
LOADED 4lkxA_H1_0001
LOADED 4llyA_H1_0001
LOADED 4lmqH_H1_0001
LOADED 4lqfH_H1_0001
LOADED 4lriC_H1_0001
LOADED 4lstH_H1_0001
LOADED 4lsuH_H1_0001
LOADED 4lvnC_H1_0001
LOADED 4m1dI_H1_0001
LOADED 4m1gH_H1_0001
LOADED 4m5yH_H1_0001
LOADED 4m61D_H1_0001
LOADED 4m6nH_H1_0001
LOADED 4m6oH_H1_0001
LOADED 4m7jH_H1_0001
LOADED 4m7kH_H1_0001
LOADED 4n0yH_H1_0001
LOADED 4n8cH_H1_0001
LOADED 4n9gM_H1_0001
LOADED 4n9oB_H1_0001
LOADED 4nbxB_H1_0001
LOADED 4nbzD_H1_0001
LOADED 4nc2B_H1_0001
LOADED 4nikB_H1_0001
LOADED 4nkiH_H1_0001
LOADED 4nm4H_H1_0001
LOADED 4npyB_H1_0001
LOADED 4nrxD_H1_0001
LOADED 4nujB_H1_0001
LOADED 4nzuH_H1_0001
LOADED 4o4yH_H1_0001
LOADED 4o9hH_H1_0001
LOADED 4ocrH_H1_0001
LOADED 4ocsH_H1_0001
LOADED 4od1H_H1_0001
LOADED 4od3H_H1_0001
LOADED 4odsH_H1_0001
LOADED 4odvH_H1_0001
LOADED 4ojfH_H1_0001
LOADED 4okvA_H1_0001
LOADED 4olzH_H1_0001
LOADED 4om1H_H1_0001
LOADED 4osuH_H1_0001
LOADED 4ouoA_H1_0001
LOADED 4p3cH_H1_0001
LOADED 4p48A_H1_0001
LOADED 4p49A_H1_0001
LOADED 4pb0H_H1_0001
LOADED 4pljD_H1_0001
LOADED 4pozD_H1_0001
LOADED 4ps4H_H1_0001
LOADED 4ptuB_H1_0001
LOADED 4qgyA_H1_0001
LOADED 4qlrB_H1_0001
LOADED 4qo1A_H1_0001
LOADED 4qt5B_H1_0001
LOADED 4qthH_H1_0001
LOADED 4qwwF_H1_0001
LOADED 4qxgH_H1_0001
LOADED 4qyoA_H1_0001
LOADED 4r4bH_H1_0001
LOADED 4r8wH_H1_0001
LOADED 4r90H_H1_0001
LOADED 4r97C_H1_0001
LOADED 4ravA_H1_0001
LOADED 4rgmH_H1_0001
LOADED 4rgnD_H1_0001
LOADED 4rgoH_H1_0001
LOADED 4rwyH_H1_0001
LOADED 4rzcA_H1_0001
LOADED 4s1qH_H1_0001
LOADED 4toyH_H1_0001
LOADED 4tprH_H1_0001
LOADED 4tscH_H1_0001
LOADED 4ttdC_H1_0001
LOADED 4tuoA_H1_0001
LOADED 4u3xC_H1_0001
LOADED 4u6vH_H1_0001
LOADED 4uinH_H1_0001
LOADED 4ut7H_H1_0001
LOADED 4uv7H_H1_0001
LOADED 4w68B_H1_0001
LOADED 4w6yB_H1_0001
LOADED 4wcyH_H1_0001
LOADED 4webH_H1_0001
LOADED 4wemB_H1_0001
LOADED 4wenB_H1_0001
LOADED 4weuE_H1_0001
LOADED 4wfeE_H1_0001
LOADED 4whtC_H1_0001
LOADED 4wukH_H1_0001
LOADED 4x0kH_H1_0001
LOADED 4x4yA_H1_0001
LOADED 4x7fD_H1_0001
LOADED 4x7sH_H1_0001
LOADED 4x80H_H1_0001
LOADED 4x8jH_H1_0001
LOADED 4xcfH_H1_0001
LOADED 4xgzE_H1_0001
LOADED 4xh2J_H1_0001
LOADED 4xmlH_H1_0001
LOADED 4xmpH_H1_0001
LOADED 4xnqB_H1_0001
LOADED 4xnyH_H1_0001
LOADED 4xtrC_H1_0001
LOADED 4xvjH_H1_0001
LOADED 4xvtH_H1_0001
LOADED 4xxdE_H1_0001
LOADED 4y5vA_H1_0001
LOADED 4y8dC_H1_0001
LOADED 4ydkH_H1_0001
LOADED 4ydlH_H1_0001
LOADED 4ydvB_H1_0001
LOADED 4ye4H_H1_0001
LOADED 4ygvA_H1_0001
LOADED 4yhyB_H1_0001
LOADED 4yjzL_H1_0001
LOADED 4yo0C_H1_0001
LOADED 4yr6D_H1_0001
LOADED 4yueH_H1_0001
LOADED 4z8fH_H1_0001
LOADED 4z9kB_H1_0001
LOADED 4zfgH_H1_0001
LOADED 4zfoA_H1_0001
LOADED 4zg1D_H1_0001
LOADED 4ztpH_H1_0001
LOADED 4zykA_H1_0001
LOADED 5a16C_H1_0001
LOADED 5aamB_H1_0001
LOADED 5alcH_H1_0001
LOADED 5aumH_H1_0001
LOADED 5awnH_H1_0001
LOADED 5azeH_H1_0001
LOADED 5bo1I_H1_0001
LOADED 5bopA_H1_0001
LOADED 5bq7A_H1_0001
LOADED 5bv7H_H1_0001
LOADED 5c2bH_H1_0001
LOADED 5c2uB_H1_0001
LOADED 5cckH_H1_0001
LOADED 5cexB_H1_0001
LOADED 5ceyD_H1_0001
LOADED 5cgyH_H1_0001
LOADED 5chnA_H1_0001
LOADED 5cmaB_H1_0001
LOADED 5cp3H_H1_0001
LOADED 5d6cH_H1_0001
LOADED 5d7sH_H1_0001
LOADED 5d93C_H1_0001
LOADED 5d96C_H1_0001
LOADED 5da4C_H1_0001
LOADED 5dd1H_H1_0001
LOADED 5dfvC_H1_0001
LOADED 5dfwH_H1_0001
LOADED 5dlmI_H1_0001
LOADED 5dmgC_H1_0001
LOADED 5dmjG_H1_0001
LOADED 5dqdH_H1_0001
LOADED 5dr5H_H1_0001
LOADED 5drnA_H1_0001
LOADED 5drwA_H1_0001
LOADED 5drxH_H1_0001
LOADED 5ds8H_H1_0001
LOADED 5dt1H_H1_0001
LOADED 5dxwA_H1_0001
LOADED 5dyoH_H1_0001
LOADED 5e03A_H1_0001
LOADED 5e08H_H1_0001
LOADED 5e0qA_H1_0001
LOADED 5e2wH_H1_0001
LOADED 5e7bA_H1_0001
LOADED 5e8eB_H1_0001
LOADED 5e94B_H1_0001
LOADED 5eiiA_H1_0001
LOADED 5en2A_H1_0001
LOADED 5eocH_H1_0001
LOADED 5eocJ_H1_0001
LOADED 5eorH_H1_0001
LOADED 5epmE_H1_0001
LOADED 5eu7E_H1_0001
LOADED 5ewiH_H1_0001
LOADED 5eziH_H1_0001
LOADED 5f1kC_H1_0001
LOADED 5f1oB_H1_0001
LOADED 5f21B_H1_0001
LOADED 5f6hO_H1_0001
LOADED 5f6iB_H1_0001
LOADED 5f72T_H1_0001
LOADED 5f7lB_H1_0001
LOADED 5f96H_H1_0001
LOADED 5f9oH_H1_0001
LOADED 5fcuH_H1_0001
LOADED 5fgcE_H1_0001
LOADED 5fhaH_H1_0001
LOADED 5fhbH_H1_0001
LOADED 5fucE_H1_0001
LOADED 5fuzH_H1_0001
LOADED 5ggqH_H1_0001
LOADED 5ggsC_H1_0001
LOADED 5ggtH_H1_0001
LOADED 5ggvH_H1_0001
LOADED 5gruH_H1_0001
LOADED 5gryG_H1_0001
LOADED 5gzoC_H1_0001
LOADED 5h35A_H1_0001
LOADED 5hdqH_H1_0001
LOADED 5hggT_H1_0001
LOADED 5i1kH_H1_0001
LOADED 5i30H_H1_0001
LOADED 5i4fA_H1_0001
LOADED 5i8cA_H1_0001
LOADED 5i8kH_H1_0001
LOADED 5i8oH_H1_0001
LOADED 5ibuH_H1_0001
LOADED 5ikcB_H1_0001
LOADED 5immB_H1_0001
LOADED 5itbH_H1_0001
LOADED 5iwlA_H1_0001
LOADED 5j1sC_H1_0001
LOADED 5j57B_H1_0001
LOADED 5jmoD_H1_0001
LOADED 5jq6H_H1_0001
LOADED 5jr1H_H1_0001
LOADED 5jueH_H1_0001
LOADED 5jw5H_H1_0001
LOADED 5jxaH_H1_0001
LOADED 5jylB_H1_0001
LOADED 5jymB_H1_0001
LOADED 5k9jH_H1_0001
LOADED 5k9qX_H1_0001
LOADED 5kanJ_H1_0001
LOADED 5kn5A_H1_0001
LOADED 5kvdH_H1_0001
LOADED 5kveH_H1_0001
LOADED 5kvfH_H1_0001
LOADED 5kw9H_H1_0001
LOADED 5l0qC_H1_0001
LOADED 5l6yH_H1_0001
LOADED 5l7xH_H1_0001
LOADED 5lbsH_H1_0001
LOADED 5lqbH_H1_0001
LOADED 5m7qA_H1_0001
LOADED 5mp6H_H1_0001
LOADED 5mvzA_H1_0001
LOADED 5sv4B_H1_0001
LOADED 5sx5H_H1_0001
LOADED 5t6pB_H1_0001
LOADED 5tbdJ_H1_0001
LOADED 5tdoD_H1_0001
LOADED 5te7H_H1_0001
LOADED 5th2D_H1_0001
LOADED 5tp3A_H1_0001
LOADED 5tq0H_H1_0001
LOADED 5u3jH_H1_0001
LOADED 5u3oH_H1_0001
LOADED 5u3pH_H1_0001
LOADED 5uelH_H1_0001
LOADED 8fabB_H1_0001
LOADED 1a2yB_H2_0001
LOADED 1a3rH_H2_0001
LOADED 1a5fH_H2_0001
LOADED 1a6tB_H2_0001
LOADED 1a7qH_H2_0001
LOADED 1ad9B_H2_0001
LOADED 1ai1H_H2_0001
LOADED 1aqkH_H2_0001
LOADED 1axsB_H2_0001
LOADED 1ay1H_H2_0001
LOADED 1bm3H_H2_0001
LOADED 1bz7B_H2_0001
LOADED 1c1eH_H2_0001
LOADED 1c5cH_H2_0001
LOADED 1c5dB_H2_0001
LOADED 1ce1H_H2_0001
LOADED 1cf8H_H2_0001
LOADED 1cicB_H2_0001
LOADED 1cloH_H2_0001
LOADED 1cr9H_H2_0001
LOADED 1ct8D_H2_0001
LOADED 1dbbH_H2_0001
LOADED 1dfbH_H2_0001
LOADED 1dlfH_H2_0001
LOADED 1dqlH_H2_0001
LOADED 1dsfH_H2_0001
LOADED 1dvfD_H2_0001
LOADED 1dzbA_H2_0001
LOADED 1e4xH_H2_0001
LOADED 1e6oH_H2_0001
LOADED 1egjH_H2_0001
LOADED 1ehlH_H2_0001
LOADED 1ejoH_H2_0001
LOADED 1emtH_H2_0001
LOADED 1eo8H_H2_0001
LOADED 1etzH_H2_0001
LOADED 1f2xK_H2_0001
LOADED 1f3dK_H2_0001
LOADED 1f4xH_H2_0001
LOADED 1f58H_H2_0001
